127.0.0.1 - - [16/Oct/2018:17:21:16 +0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [16/Oct/2018:17:21:17 +0300] "GET /Loginn/login.html HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [16/Oct/2018:17:21:17 +0300] "GET /Loginn/style2.css HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [16/Oct/2018:17:21:17 +0300] "GET /Loginn/resim4.jpg HTTP/1.1" 200 244193
0:0:0:0:0:0:0:1 - - [16/Oct/2018:17:21:32 +0300] "GET /Loginn/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2018:17:21:32 +0300] "GET /Loginn/style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2018:17:21:32 +0300] "GET /Loginn/resim4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2018:17:21:32 +0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Oct/2018:17:22:00 +0300] "POST /Loginn/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2018:17:22:01 +0300] "GET /Loginn/successs.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [16/Oct/2018:17:22:01 +0300] "GET /Loginn/style3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2018:17:22:01 +0300] "GET /Loginn/resim8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2018:17:22:01 +0300] "GET /Loginn/resim3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2018:17:22:01 +0300] "GET /Loginn/resim9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2018:17:22:01 +0300] "GET /Loginn/resim6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2018:17:51:14 +0300] "GET /Loginn/logout.jsp HTTP/1.1" 302 -
